data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
14/03/2022,00:00,15.44,0.43,23.2,16.18,0.01,21.5
14/03/2022,00:10,15.44,0.43,23.2,16.20,0.01,21.5
14/03/2022,00:20,15.43,0.43,23.1,16.41,0.01,21.5
14/03/2022,00:30,15.44,0.43,23.1,16.45,0.01,21.5
14/03/2022,00:40,15.44,0.42,23.2,16.46,0.01,21.5
14/03/2022,00:50,15.44,0.42,23.1,16.46,0.01,21.5
14/03/2022,01:00,15.44,0.44,23.1,16.46,0.01,21.5
14/03/2022,01:10,15.44,0.43,23.2,16.45,0.01,21.5
14/03/2022,01:20,15.44,0.44,23.1,16.44,0.01,21.5
14/03/2022,01:30,15.44,0.43,23.2,16.41,0.01,21.5
14/03/2022,01:40,15.44,0.45,23.2,16.41,0.01,21.5
14/03/2022,01:50,15.44,0.43,23.1,16.41,0.02,21.5
14/03/2022,02:00,15.44,0.43,23.1,16.39,0.01,21.4
14/03/2022,02:10,15.44,0.43,23.1,16.37,0.01,21.4
14/03/2022,02:20,15.44,0.45,23.1,16.36,0.01,21.4
14/03/2022,02:30,15.43,0.43,23.1,16.29,0.01,21.4
14/03/2022,02:40,15.44,0.44,23.0,16.32,0.01,21.4
14/03/2022,02:50,15.44,0.42,23.1,16.32,0.01,21.3
14/03/2022,03:00,15.44,0.43,23.1,16.32,0.01,21.3
14/03/2022,03:10,15.44,0.42,23.1,16.32,0.01,21.3
14/03/2022,03:20,15.44,0.43,23.1,16.32,0.01,21.3
14/03/2022,03:30,15.44,0.43,23.0,16.32,0.01,21.3
14/03/2022,03:40,15.44,0.42,23.0,16.30,0.02,21.3
14/03/2022,03:50,15.44,0.43,23.0,16.31,0.01,21.3
14/03/2022,04:00,15.43,0.43,22.9,16.30,0.01,21.3
14/03/2022,04:10,15.43,0.44,22.9,16.28,0.02,21.2
14/03/2022,04:20,15.44,0.43,22.9,16.28,0.01,21.2
14/03/2022,04:30,15.44,0.43,22.9,16.27,0.01,21.2
