data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
14/02/2022,00:00,8.73,0.12,18.2,6.56,0.01,16.2
14/02/2022,00:10,8.73,0.13,18.1,6.60,0.00,16.2
14/02/2022,00:20,8.73,0.13,18.1,6.62,0.01,16.2
14/02/2022,00:30,8.72,0.13,18.0,6.66,0.01,16.2
14/02/2022,00:40,8.71,0.12,17.9,6.69,0.00,16.0
14/02/2022,00:50,8.67,0.13,17.7,6.69,0.01,15.9
14/02/2022,01:00,8.65,0.13,17.5,6.69,0.01,15.6
14/02/2022,01:10,8.65,0.13,17.4,6.69,0.00,15.5
14/02/2022,01:20,8.65,0.13,17.3,6.69,0.00,15.3
14/02/2022,01:30,8.65,0.13,17.2,6.69,0.01,15.2
14/02/2022,01:40,8.65,0.13,17.1,6.69,0.01,15.1
14/02/2022,01:50,8.65,0.13,17.0,6.69,0.00,15.0
14/02/2022,02:00,8.65,0.13,16.9,6.69,0.01,14.9
14/02/2022,02:10,8.65,0.13,16.8,6.69,0.01,14.8
14/02/2022,02:20,8.65,0.13,16.8,6.69,0.00,14.8
14/02/2022,02:30,8.64,0.13,16.7,6.69,0.00,14.6
14/02/2022,02:40,8.64,0.13,16.6,6.69,0.00,14.5
14/02/2022,02:50,8.61,0.12,16.5,6.69,0.01,14.5
14/02/2022,03:00,8.61,0.12,16.5,6.69,0.00,14.4
14/02/2022,03:10,8.61,0.12,16.4,6.69,0.00,14.3
14/02/2022,03:20,8.59,0.13,16.3,6.69,0.01,14.1
14/02/2022,03:30,8.59,0.13,16.3,6.69,0.01,14.1
14/02/2022,03:40,8.57,0.12,16.2,6.69,0.01,13.9
14/02/2022,03:50,8.57,0.12,16.0,6.68,0.00,13.8
14/02/2022,04:00,8.57,0.13,16.0,6.69,0.01,13.8
14/02/2022,04:10,8.57,0.12,16.0,6.69,0.01,13.9
14/02/2022,04:20,8.57,0.14,16.0,6.69,0.01,13.8
14/02/2022,04:30,8.57,0.13,16.0,6.69,0.01,13.7
14/02/2022,04:40,8.57,0.12,15.9,6.68,0.00,13.7
14/02/2022,04:50,8.57,0.13,15.9,6.67,0.00,13.7
14/02/2022,05:00,8.56,0.12,15.8,6.68,0.01,13.7
14/02/2022,05:10,8.56,0.12,15.8,6.67,0.00,13.7
14/02/2022,05:20,8.56,0.13,15.9,6.67,0.01,13.7
14/02/2022,05:30,8.56,0.12,15.9,6.67,0.00,13.6
14/02/2022,05:40,8.55,0.13,15.8,6.66,0.01,13.5
14/02/2022,05:50,8.55,0.13,15.7,6.66,0.01,13.5
14/02/2022,06:00,8.55,0.12,15.7,6.68,0.01,13.5
14/02/2022,06:10,8.55,0.13,15.7,6.67,0.01,13.5
14/02/2022,06:20,8.54,0.13,15.6,6.66,0.00,13.4
14/02/2022,06:30,8.53,0.13,15.6,6.67,0.01,13.4
14/02/2022,06:40,8.53,0.13,15.6,6.66,0.01,13.4
14/02/2022,06:50,8.53,0.13,15.6,6.67,0.01,13.5
14/02/2022,07:00,8.53,0.13,15.7,6.68,0.01,13.7
14/02/2022,07:10,8.54,0.12,15.7,6.66,0.01,13.7
14/02/2022,07:20,8.53,0.13,15.9,6.68,0.00,13.9
14/02/2022,07:30,8.54,0.13,16.0,6.69,0.01,14.1
14/02/2022,07:40,8.55,0.12,16.3,6.69,0.01,14.4
14/02/2022,07:50,8.56,0.12,16.6,6.69,0.00,14.6
14/02/2022,08:00,8.56,0.13,16.8,6.69,0.00,14.9
14/02/2022,08:10,8.58,0.12,17.1,6.70,0.00,15.2
14/02/2022,08:20,8.60,0.12,17.4,6.78,0.01,15.6
14/02/2022,08:30,8.57,0.13,17.7,6.83,0.01,15.9
14/02/2022,08:40,8.60,0.12,17.8,6.86,0.01,16.1
14/02/2022,08:50,8.60,0.12,18.1,6.86,0.01,16.4
14/02/2022,09:00,8.63,0.12,18.4,6.86,0.01,16.7
14/02/2022,09:10,8.64,0.12,18.6,6.86,0.01,16.9
14/02/2022,09:20,8.64,0.12,18.8,6.88,0.00,17.2
14/02/2022,09:30,8.65,0.12,19.4,6.94,0.01,17.6
14/02/2022,09:40,8.65,0.12,20.2,6.95,0.01,18.3
14/02/2022,09:50,8.81,0.12,24.5,7.09,0.01,21.5
14/02/2022,10:00,8.89,0.10,27.1,7.26,0.01,26.7
14/02/2022,10:10,8.95,0.10,28.6,7.28,0.01,28.6
14/02/2022,10:20,8.97,0.10,29.7,7.31,0.01,30.2
14/02/2022,10:30,8.99,0.11,30.1,7.32,0.00,30.5
14/02/2022,10:40,9.00,0.10,30.4,7.32,0.01,30.6
14/02/2022,10:50,8.98,0.10,30.4,7.29,0.00,30.3
14/02/2022,11:00,8.96,0.11,30.3,7.27,0.01,29.5
14/02/2022,11:10,8.96,0.10,30.6,7.23,0.01,29.3
14/02/2022,11:20,8.95,0.10,30.7,7.20,0.01,29.4
14/02/2022,11:30,8.97,0.11,31.7,7.23,0.01,30.5
14/02/2022,11:40,8.97,0.10,32.2,7.26,0.01,31.8
14/02/2022,11:50,8.91,0.11,31.7,7.28,0.00,32.8
14/02/2022,12:00,8.88,0.10,31.3,7.27,0.01,33.6
14/02/2022,12:10,8.96,0.10,33.5,7.21,0.01,33.5
14/02/2022,12:20,8.99,0.10,34.8,7.12,0.01,31.6
14/02/2022,12:30,8.99,0.10,35.4,7.04,0.01,29.7
14/02/2022,12:40,8.99,0.10,36.0,6.99,0.01,28.9
14/02/2022,12:50,8.90,0.10,34.3,6.95,0.01,28.3
14/02/2022,13:00,8.80,0.11,32.1,6.94,0.01,28.1
14/02/2022,13:10,8.73,0.10,30.6,6.95,0.01,28.8
14/02/2022,13:20,8.69,0.11,29.7,6.90,0.01,28.3
14/02/2022,13:30,8.64,0.10,29.1,6.89,0.01,28.7
14/02/2022,13:40,8.62,0.10,28.7,6.94,0.01,29.7
14/02/2022,13:50,8.59,0.11,28.5,6.94,0.01,30.4
14/02/2022,14:00,8.56,0.10,28.4,6.94,0.01,30.7
14/02/2022,14:10,8.54,0.10,28.3,6.94,0.01,31.4
14/02/2022,14:20,8.55,0.10,28.4,6.96,0.01,33.0
14/02/2022,14:30,8.55,0.10,28.5,7.02,0.01,34.6
14/02/2022,14:40,8.55,0.10,28.4,7.04,0.01,36.0
14/02/2022,14:50,8.54,0.10,28.4,7.07,0.01,37.1
14/02/2022,15:00,8.55,0.10,29.3,7.04,0.01,36.7
14/02/2022,15:10,8.55,0.10,29.6,7.03,0.01,37.5
14/02/2022,15:20,8.50,0.11,29.1,7.04,0.01,38.6
14/02/2022,15:30,8.48,0.10,29.0,7.03,0.01,38.8
14/02/2022,15:40,8.48,0.10,28.9,6.96,0.01,37.6
14/02/2022,15:50,8.46,0.10,28.7,6.89,0.01,37.0
14/02/2022,16:00,8.48,0.10,29.1,6.84,0.00,35.1
14/02/2022,16:10,8.46,0.10,29.2,6.71,0.01,32.3
14/02/2022,16:20,8.46,0.10,29.2,6.70,0.01,32.4
14/02/2022,16:30,8.42,0.10,28.9,6.70,0.01,32.9
14/02/2022,16:40,8.40,0.10,28.5,6.61,0.01,31.0
14/02/2022,16:50,8.39,0.10,28.3,6.53,0.01,30.0
14/02/2022,17:00,8.39,0.10,28.0,6.51,0.01,29.0
14/02/2022,17:10,8.39,0.10,27.8,6.52,0.01,29.2
14/02/2022,17:20,8.38,0.11,27.6,6.53,0.01,29.3
14/02/2022,17:30,8.37,0.09,27.5,6.58,0.01,29.8
14/02/2022,17:40,8.34,0.10,27.4,6.57,0.00,28.7
14/02/2022,17:50,8.31,0.10,27.2,6.63,0.01,29.7
14/02/2022,18:00,8.31,0.10,27.0,6.62,0.01,28.5
14/02/2022,18:10,8.29,0.10,26.7,6.61,0.01,27.2
14/02/2022,18:20,8.27,0.11,26.6,6.61,0.00,26.5
14/02/2022,18:30,8.26,0.11,26.4,6.60,0.01,26.0
14/02/2022,18:40,8.23,0.11,26.2,6.58,0.01,25.6
14/02/2022,18:50,8.22,0.10,25.9,6.55,0.01,25.1
14/02/2022,19:00,8.21,0.11,25.6,6.54,0.01,24.6
14/02/2022,19:10,8.21,0.11,25.2,6.55,0.01,24.2
14/02/2022,19:20,8.17,0.11,24.9,6.59,0.01,23.7
14/02/2022,19:30,8.15,0.11,24.4,6.61,0.01,23.1
14/02/2022,19:40,8.15,0.11,23.8,6.61,0.01,22.6
14/02/2022,19:50,8.11,0.11,23.3,6.61,0.01,22.2
14/02/2022,20:00,8.07,0.11,22.9,6.61,0.01,21.8
14/02/2022,20:10,8.07,0.11,22.7,6.62,0.01,21.6
14/02/2022,20:20,8.06,0.11,22.5,6.62,0.01,21.4
14/02/2022,20:30,8.07,0.11,22.2,6.63,0.01,21.1
14/02/2022,20:40,8.07,0.11,22.1,6.63,0.01,20.9
14/02/2022,20:50,8.06,0.11,21.9,6.65,0.01,20.8
14/02/2022,21:00,8.04,0.11,21.8,6.63,0.01,20.6
14/02/2022,21:10,8.04,0.12,21.7,6.63,0.01,20.4
14/02/2022,21:20,8.02,0.10,21.6,6.64,0.01,20.3
14/02/2022,21:30,8.00,0.11,21.5,6.65,0.00,20.1
14/02/2022,21:40,7.99,0.11,21.4,6.65,0.00,20.0
14/02/2022,21:50,7.99,0.11,21.3,6.64,0.01,19.9
14/02/2022,22:00,7.99,0.11,21.2,6.64,0.00,19.8
14/02/2022,22:10,7.99,0.11,21.1,6.67,0.01,19.6
14/02/2022,22:20,7.98,0.12,20.9,6.66,0.01,19.4
14/02/2022,22:30,7.98,0.11,20.7,6.64,0.01,19.2
14/02/2022,22:40,7.98,0.11,20.5,6.66,0.01,19.0
14/02/2022,22:50,7.96,0.11,20.4,6.65,0.01,18.8
14/02/2022,23:00,7.95,0.11,20.3,6.64,0.01,18.8
14/02/2022,23:10,7.94,0.11,20.3,6.65,0.01,18.6
14/02/2022,23:20,7.93,0.11,20.2,6.63,0.01,18.4
14/02/2022,23:30,7.92,0.11,20.1,6.64,0.01,18.3
14/02/2022,23:40,7.91,0.11,20.0,6.64,0.01,18.3
14/02/2022,23:50,7.91,0.11,19.9,6.64,0.01,18.2
