data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
07/03/2022,00:00,15.87,0.54,25.0,15.87,0.02,24.2
07/03/2022,00:10,15.87,0.53,25.0,16.00,0.02,24.1
07/03/2022,00:20,15.84,0.54,25.0,16.14,0.02,24.1
07/03/2022,00:30,15.81,0.53,25.0,16.08,0.02,24.1
07/03/2022,00:40,15.80,0.53,25.0,16.04,0.02,24.1
07/03/2022,00:50,15.79,0.53,24.9,16.00,0.02,24.0
07/03/2022,01:00,15.76,0.54,24.9,15.96,0.01,24.0
07/03/2022,01:10,15.74,0.53,24.9,15.96,0.02,24.0
07/03/2022,01:20,15.74,0.52,24.9,15.95,0.02,24.0
07/03/2022,01:30,15.73,0.53,24.9,15.92,0.02,24.0
07/03/2022,01:40,15.71,0.54,24.9,15.91,0.02,24.0
07/03/2022,01:50,15.70,0.53,24.9,15.90,0.02,24.0
07/03/2022,02:00,15.67,0.54,24.9,15.89,0.02,24.0
07/03/2022,02:10,15.67,0.53,24.9,15.88,0.02,24.0
07/03/2022,02:20,15.66,0.54,24.9,15.87,0.02,24.0
07/03/2022,02:30,15.63,0.54,24.9,15.87,0.02,23.9
07/03/2022,02:40,15.61,0.53,24.9,15.86,0.02,23.9
07/03/2022,02:50,15.60,0.54,24.9,15.86,0.02,23.9
07/03/2022,03:00,15.59,0.53,24.9,15.85,0.02,23.9
07/03/2022,03:10,15.58,0.54,24.9,15.84,0.02,23.9
07/03/2022,03:20,15.57,0.51,24.9,15.83,0.02,23.9
07/03/2022,03:30,15.56,0.53,24.9,15.82,0.02,23.9
07/03/2022,03:40,15.56,0.54,24.8,15.82,0.02,23.8
07/03/2022,03:50,15.55,0.53,24.8,15.81,0.02,23.8
07/03/2022,04:00,15.54,0.54,24.8,15.78,0.02,23.8
07/03/2022,04:10,15.53,0.54,24.8,15.78,0.02,23.8
07/03/2022,04:20,15.51,0.54,24.8,15.77,0.02,23.7
07/03/2022,04:30,15.50,0.53,24.8,15.77,0.02,23.7
07/03/2022,04:40,15.50,0.53,24.8,15.77,0.02,23.7
07/03/2022,04:50,15.48,0.54,24.8,15.77,0.02,23.7
07/03/2022,05:00,15.49,0.53,24.8,15.77,0.02,23.7
07/03/2022,05:10,15.47,0.53,24.7,15.75,0.02,23.6
07/03/2022,05:20,15.46,0.53,24.7,15.76,0.02,23.5
07/03/2022,05:30,15.45,0.53,24.7,15.75,0.02,23.5
07/03/2022,05:40,15.44,0.53,24.7,15.73,0.02,23.5
07/03/2022,05:50,15.44,0.53,24.7,15.73,0.02,23.5
07/03/2022,06:00,15.44,0.53,24.6,15.72,0.02,23.5
07/03/2022,06:10,15.44,0.54,24.6,15.71,0.02,23.4
07/03/2022,06:20,15.43,0.53,24.6,15.68,0.02,23.4
07/03/2022,06:30,15.43,0.52,24.6,15.68,0.02,23.4
07/03/2022,06:40,15.40,0.53,24.6,15.66,0.02,23.4
07/03/2022,06:50,15.39,0.53,24.5,15.61,0.02,23.4
07/03/2022,07:00,15.39,0.53,24.5,15.59,0.02,23.3
07/03/2022,07:10,15.38,0.53,24.5,15.53,0.02,23.3
07/03/2022,07:20,15.38,0.52,24.5,15.50,0.02,23.3
07/03/2022,07:30,15.37,0.52,24.5,15.49,0.02,23.4
07/03/2022,07:40,15.37,0.53,24.5,15.48,0.02,23.4
07/03/2022,07:50,15.35,0.52,24.5,15.47,0.02,23.4
07/03/2022,08:00,15.34,0.54,24.5,15.46,0.02,23.4
07/03/2022,08:10,15.36,0.53,24.6,15.52,0.02,23.5
07/03/2022,08:20,15.32,0.52,24.6,15.86,0.02,23.5
07/03/2022,08:30,15.32,0.52,24.6,15.84,0.02,23.5
07/03/2022,08:40,15.32,0.52,24.6,15.80,0.02,23.6
07/03/2022,08:50,15.31,0.51,24.6,15.77,0.02,23.7
07/03/2022,09:00,15.31,0.52,24.6,15.74,0.02,23.8
07/03/2022,09:10,15.31,0.52,24.7,15.73,0.02,23.8
07/03/2022,09:20,15.31,0.52,24.7,15.69,0.02,23.9
07/03/2022,09:30,15.31,0.51,24.8,15.68,0.02,24.0
07/03/2022,09:40,15.31,0.52,24.9,15.68,0.02,24.2
07/03/2022,09:50,15.29,0.50,25.0,15.66,0.02,24.4
07/03/2022,10:00,15.29,0.52,25.0,15.65,0.02,24.6
07/03/2022,10:10,15.28,0.52,25.1,15.63,0.02,24.8
07/03/2022,10:20,15.28,0.53,25.3,15.61,0.02,25.0
07/03/2022,10:30,15.30,0.51,25.3,15.62,0.02,25.5
07/03/2022,10:40,15.26,0.52,25.5,15.59,0.01,26.0
07/03/2022,10:50,15.25,0.52,25.6,15.59,0.01,26.3
07/03/2022,11:00,15.25,0.51,25.7,15.58,0.02,26.6
07/03/2022,11:10,15.25,0.52,25.8,15.55,0.02,27.1
07/03/2022,11:20,15.23,0.52,26.0,15.54,0.02,27.7
07/03/2022,11:30,15.21,0.52,26.1,15.54,0.02,28.5
07/03/2022,11:40,15.20,0.52,26.2,15.51,0.02,29.0
07/03/2022,11:50,15.19,0.51,26.3,15.49,0.02,29.6
07/03/2022,12:00,15.14,0.51,26.3,15.46,0.01,30.0
07/03/2022,12:10,15.13,0.51,26.5,15.42,0.01,30.4
07/03/2022,12:20,15.08,0.51,26.5,15.40,0.02,30.7
07/03/2022,12:30,15.07,0.52,26.6,15.36,0.02,31.0
07/03/2022,12:40,15.03,0.52,26.7,15.31,0.02,31.1
07/03/2022,12:50,15.01,0.51,26.8,15.25,0.02,31.2
07/03/2022,13:00,14.98,0.50,26.9,15.20,0.02,31.0
07/03/2022,13:10,14.95,0.50,27.0,15.15,0.02,30.8
07/03/2022,13:20,14.89,0.51,27.0,15.08,0.02,30.6
07/03/2022,13:30,14.81,0.50,27.1,15.00,0.01,30.5
07/03/2022,13:40,14.78,0.51,27.1,14.95,0.02,30.0
07/03/2022,13:50,14.76,0.51,26.8,14.93,0.02,29.2
07/03/2022,14:00,15.67,0.55,26.6,15.98,0.02,28.5
07/03/2022,14:10,19.39,0.53,25.2,16.33,0.02,27.3
07/03/2022,14:20,18.30,0.51,25.2,16.18,0.02,26.7
07/03/2022,14:30,17.93,0.52,25.2,16.13,0.02,26.5
07/03/2022,14:40,17.72,0.52,25.2,16.09,0.01,26.2
07/03/2022,14:50,17.65,0.52,25.2,16.09,0.02,26.0
07/03/2022,15:00,17.60,0.52,25.2,16.05,0.02,25.8
07/03/2022,15:10,17.52,0.53,25.2,16.04,0.02,25.8
07/03/2022,15:20,17.43,0.53,25.2,16.01,0.02,25.7
07/03/2022,15:30,17.35,0.52,25.2,15.97,0.02,25.6
07/03/2022,15:40,17.26,0.53,25.2,15.96,0.02,25.6
07/03/2022,15:50,17.32,0.53,25.3,16.01,0.01,25.6
07/03/2022,16:00,17.34,0.53,25.2,16.00,0.02,25.6
07/03/2022,16:10,17.31,0.54,25.2,15.99,0.02,25.5
07/03/2022,16:20,17.26,0.53,25.2,15.96,0.02,25.5
07/03/2022,16:30,17.21,0.54,25.2,15.96,0.02,25.4
07/03/2022,16:40,17.16,0.52,25.2,15.95,0.02,25.4
07/03/2022,16:50,17.11,0.53,25.2,15.92,0.02,25.4
07/03/2022,17:00,17.20,0.52,25.3,16.00,0.02,25.3
07/03/2022,17:10,17.34,0.53,25.3,16.21,0.02,25.3
07/03/2022,17:20,17.43,0.53,25.2,16.20,0.02,25.2
07/03/2022,17:30,17.46,0.52,25.3,16.35,0.02,25.1
07/03/2022,17:40,17.71,0.54,25.2,16.32,0.02,25.0
07/03/2022,17:50,17.78,0.54,25.2,16.31,0.02,24.9
07/03/2022,18:00,17.88,0.54,25.2,16.32,0.02,24.8
07/03/2022,18:10,17.79,0.51,25.1,16.26,0.02,24.6
07/03/2022,18:20,17.69,0.52,25.1,16.21,0.02,24.6
07/03/2022,18:30,17.81,0.53,25.0,16.27,0.02,24.5
07/03/2022,18:40,17.95,0.54,25.0,16.33,0.02,24.4
07/03/2022,18:50,17.98,0.52,24.9,16.35,0.02,24.3
07/03/2022,19:00,18.12,0.53,24.9,16.41,0.02,24.2
07/03/2022,19:10,18.05,0.52,24.8,16.45,0.02,24.1
07/03/2022,19:20,18.00,0.52,24.8,16.47,0.02,24.0
07/03/2022,19:30,17.92,0.52,24.8,16.36,0.02,23.9
07/03/2022,19:40,17.85,0.51,24.8,16.32,0.02,23.8
07/03/2022,19:50,17.76,0.52,24.7,16.26,0.02,23.8
07/03/2022,20:00,17.70,0.50,24.7,16.22,0.02,23.8
07/03/2022,20:10,17.64,0.52,24.6,16.18,0.02,23.8
07/03/2022,20:20,17.60,0.52,24.6,16.15,0.02,23.7
07/03/2022,20:30,17.56,0.51,24.6,16.14,0.02,23.7
07/03/2022,20:40,17.52,0.51,24.5,16.13,0.02,23.5
07/03/2022,20:50,17.47,0.50,24.5,16.11,0.02,23.5
07/03/2022,21:00,17.43,0.51,24.5,16.09,0.02,23.5
07/03/2022,21:10,17.39,0.50,24.5,16.09,0.02,23.5
07/03/2022,21:20,17.34,0.51,24.5,16.06,0.02,23.5
07/03/2022,21:30,17.31,0.50,24.5,16.05,0.02,23.5
07/03/2022,21:40,17.27,0.51,24.5,16.04,0.01,23.5
07/03/2022,21:50,17.22,0.51,24.5,16.00,0.02,23.5
07/03/2022,22:00,17.21,0.51,24.5,15.96,0.01,23.5
